Date,Prix Actuel,Prix Predit,Product Code
2018-11-25,11.99,11.99,1601427999
2021-06-29,5.49,5.49,160459201X
2022-03-26,19.49,19.49,1606522086
2022-09-08,13.99,13.990000000000002,1607103133
2022-09-15,13.99,13.990000000000002,1607103133
2021-12-08,20.49,20.49,1607743523
2020-05-28,9.69,9.69,1607747308
2020-11-13,11.11,11.109999999999998,1607747308
2021-08-29,8.99,8.99,1607747308
2021-03-04,9.7,9.699999999999992,1607749440
2022-10-20,8.55,8.55,1607749726
2022-11-13,11.99,11.99,1608177769
2022-05-07,23.99,23.99,1608876438
2019-02-06,58.08,58.08,1609304071
2019-02-27,62.53,62.53,1609304071
2020-12-04,8.89,8.889999999999999,1609580427
2021-12-24,8.89,8.889999999999999,1609580427
2022-08-14,8.89,8.889999999999999,1609580427
2021-11-24,10.99,10.989999999999998,1612620019
2022-06-18,4.95,4.949999999999999,1614271925
2022-07-17,4.95,4.949999999999999,1614271925
2022-05-08,6.26,6.26,1615190619
2022-10-08,9.79,9.79,1615190619
2020-08-07,10.59,10.59,1615192417
2022-04-17,13.59,13.589999999999998,1615192417
2020-12-15,8.69,8.69,1616205679
2021-10-20,12.14,12.140000000000002,1617750255
2021-12-16,10.65,10.650000000000002,1617750255
2022-07-18,5.85,5.8500000000000005,1617750255
2019-08-10,6.83,6.83,1619636093
2022-09-01,11.29,11.29,1623159040
2022-06-18,14.35,14.35,1626254346
2022-07-20,14.35,14.35,1626254346
2019-11-19,2.74,2.740000000000001,1626724458
2021-12-30,16.99,16.99,1628601167
2019-08-31,21.51,21.51,1628602635
2020-10-25,19.21,19.21,1628602635
2021-06-14,11.69,11.69,1629798843
2020-10-13,32.99,32.99,1632159031
2021-12-06,14.95,14.95,1633226247
2022-06-07,11.89,11.89,1633226247
2022-08-04,9.59,9.59,1635443997
2022-12-10,12.0,12.0,1635577993
2021-10-04,9.69,11.59,1635861802
2022-10-15,17.32,17.32,1638930147
